weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris1,536.3966818902041,Entire home/apt,False,5.0,9.0,89.0,1,1.351201218155482,0.2123455396063523,2.359,48.868
paris2,290.101593811166,Private room,False,2.0,10.0,97.0,1,0.6998212418102902,0.1937103117171411,2.35385,48.86282
paris3,445.7544971572374,Entire home/apt,False,4.0,10.0,100.0,1,0.968981736277134,0.2943429303001096,2.36023,48.86375
paris4,211.3430888246808,Private room,False,2.0,10.0,94.0,1,3.3023186447838158,0.2347397125169523,2.31714,48.87475
paris5,266.334234318203,Entire home/apt,False,2.0,9.0,88.0,1,1.402429780168026,0.0550519309369278,2.33408,48.853840000000005
paris6,345.0927393046882,Entire home/apt,False,2.0,9.0,91.0,1,0.5475705325797227,0.1960055067983233,2.356,48.861
paris7,387.03513840991707,Entire home/apt,False,2.0,10.0,96.0,1,0.8824168969642899,0.1543282181334617,2.342,48.853
paris8,247.9261813775748,Entire home/apt,False,4.0,7.0,82.0,1,1.1979198573657852,0.1036045915111318,2.35915,48.86648
paris9,527.0761487557088,Entire home/apt,False,4.0,10.0,93.0,1,1.5432028946771832,0.549118407065965,2.33201,48.85891
paris10,193.6340758691397,Private room,False,2.0,10.0,90.0,1,3.998175150587037,0.4158374592121118,2.3067,48.87582
paris11,207.1488489141579,Entire home/apt,False,2.0,10.0,95.0,1,1.4252839411318254,0.2073953576464992,2.36075,48.86825
paris12,345.0927393046882,Entire home/apt,False,2.0,9.0,94.0,0,1.7710303604787752,0.2106695015906832,2.33543,48.86767
paris13,263.7710877062168,Entire home/apt,False,2.0,9.0,89.0,0,1.3265047873282738,0.1642539066511186,2.3484,48.86815
paris14,242.7998881536024,Private room,False,2.0,10.0,97.0,1,1.0736173913441365,0.1393602541999903,2.3506,48.86612
paris15,382.1418585143071,Private room,False,2.0,10.0,90.0,1,1.5507103326617762,0.1877025140125134,2.34653,48.8699
paris16,372.82132537981175,Entire home/apt,False,2.0,9.0,87.0,1,1.692704376248126,0.177785007947693,2.33735,48.86791
paris17,484.2016963370305,Entire home/apt,False,2.0,10.0,96.0,1,0.8232881307325709,0.2392971865645957,2.3538,48.86394
paris18,435.5019107092926,Entire home/apt,False,4.0,9.0,80.0,1,1.2422882194751153,0.0695355718445172,2.34713,48.86711
paris19,509.8331624568925,Entire home/apt,False,4.0,10.0,93.0,1,3.2509692283680987,0.2201268280731757,2.31294,48.86943
paris20,318.29620654301425,Entire home/apt,False,2.0,9.0,94.0,0,1.090576484690965,0.1930428958733482,2.34119,48.86274
